iter	RMSE
0	197917.0966
1	196378.5817
2	195031.1645
3	193563.494
4	192124.438
5	190624.9773
6	189122.6366
7	187799.7953
8	186401.2948
9	185096.1334
10	183632.8181
11	182338.1667
12	180995.5902
13	179723.4692
14	178446.5123
15	177129.6947
16	175853.7398
17	174559.8945
18	173308.4787
19	171995.7002
20	170737.9611
21	169478.3043
22	168236.6123
23	167057.2172
24	165977.0741
25	164737.5359
26	163591.5508
27	162511.4176
28	161342.4113
29	160186.0165
30	159171.8647
31	158078.1695
32	156993.0376
33	155882.6999
34	154807.5878
35	153780.4453
36	152693.2124
37	151659.0342
38	150584.3014
39	149503.0612
40	148447.0743
41	147373.3306
42	146340.6724
43	145338.1477
44	144258.5279
45	143240.6842
46	142240.3939
47	141185.5642
48	140201.7733
49	139110.0649
50	138130.8919
51	137150.936
52	136194.179
53	135275.2776
54	134321.2125
55	133409.4877
56	132475.0725
57	131556.1658
58	130573.5754
59	129680.1474
60	128784.375
61	127923.66
62	127041.7383
63	126157.1569
64	125231.032
65	124407.5924
66	123530.0412
67	122720.0267
68	121872.5557
69	120988.2095
70	120197.1036
71	119431.5676
72	118632.1542
73	117898.5122
74	117085.8125
75	116339.9053
76	115515.3331
77	114685.8541
78	113928.2377
79	113168.8385
80	112388.9651
81	111623.8041
82	110880.4119
83	110146.7202
84	109413.4762
85	108714.8782
86	107953.9867
87	107199.0978
88	106542.8078
89	105792.2267
90	105061.6294
91	104309.3449
92	103673.4023
93	102982.3104
94	102318.4721
95	101621.8147
96	100958.6167
97	100303.1835
98	99649.15795
99	99002.72537
100	98338.60982
101	97712.16566
102	97114.41232
103	96456.30262
104	95831.69452
105	95174.84544
106	94518.17815
107	93948.99308
108	93310.21085
109	92722.2407
110	92159.60568
111	91561.09741
112	90949.76813
113	90370.71653
114	89763.95039
115	89230.76352
116	88665.78578
117	88106.2025
118	87546.29896
119	87014.35878
120	86487.51643
121	86033.33811
122	85511.12995
123	85002.90408
124	84490.87921
125	83985.14667
126	83455.83619
127	82953.75134
128	82418.5614
129	81941.06017
130	81436.99703
131	80958.35683
132	80491.0766
133	80009.55877
134	79503.16936
135	79007.33184
136	78555.11537
137	78065.54173
138	77621.66532
139	77161.15559
140	76662.86828
141	76193.02786
142	75742.0786
143	75328.84063
144	74883.9278
145	74433.37014
146	73990.82167
147	73561.1616
148	73080.29943
149	72695.7971
150	72291.13865
151	71854.84775
152	71428.56303
153	71028.60694
154	70616.65694
155	70226.117
156	69822.59644
157	69384.22459
158	68956.68572
159	68576.08322
160	68167.72305
161	67749.6506
162	67321.93363
163	66915.42788
164	66564.644
165	66209.37814
166	65831.01438
167	65451.90488
168	65093.34066
169	64720.38515
170	64356.55753
171	64005.78526
172	63665.10364
173	63301.70442
174	62972.57492
175	62645.00436
176	62255.25093
177	61868.72446
178	61544.62723
179	61219.97226
180	60891.4314
181	60533.45222
182	60179.11907
183	59839.45811
184	59509.37579
185	59209.66026
186	58892.3872
187	58591.02405
188	58303.34986
189	58020.81354
190	57722.33696
191	57376.52912
192	57086.10034
193	56761.84811
194	56454.53969
195	56141.36445
196	55854.28604
197	55529.3112
198	55246.91053
199	54990.85709
200	54690.69636
201	54400.98148
202	54106.33582
203	53816.1884
204	53527.68541
205	53259.17827
206	52971.62107
207	52699.35085
208	52451.31442
209	52166.44111
210	51915.48088
211	51639.42146
212	51365.90511
213	51123.10586
214	50865.24774
215	50608.67041
216	50367.52676
217	50123.19145
218	49848.77086
219	49570.17238
220	49335.06494
221	49082.71359
222	48823.80208
223	48593.69823
224	48321.68474
225	48102.50977
226	47858.2544
227	47620.85095
228	47394.81
229	47164.83666
230	46936.83902
231	46693.00191
232	46474.36624
233	46262.43487
234	46015.90324
235	45822.50963
236	45603.09652
237	45373.14113
238	45132.67741
239	44909.38788
240	44699.18964
241	44484.03548
242	44268.26606
243	44061.84721
244	43861.63585
245	43648.8681
246	43430.9726
247	43221.79147
248	43006.61903
249	42780.4393
250	42590.85444
251	42396.34182
252	42196.90278
253	42008.04124
254	41827.30103
255	41637.8082
256	41435.74552
257	41248.17387
258	41058.05396
259	40868.19074
260	40683.95429
261	40492.35802
262	40303.13473
263	40136.02019
264	39934.62125
265	39739.75269
266	39541.34623
267	39369.87158
268	39205.26126
269	39049.88057
270	38855.5437
271	38688.52698
272	38511.65681
273	38355.07379
274	38190.75116
275	38009.47977
276	37864.48857
277	37688.06481
278	37535.1015
279	37352.4195
280	37198.52008
281	37045.70232
282	36869.32966
283	36670.56723
284	36511.1165
285	36353.72343
286	36190.79255
287	36051.09825
288	35926.78852
289	35773.47671
290	35620.97219
291	35444.36907
292	35283.0914
293	35131.76374
294	34980.95352
295	34836.45929
296	34695.63644
297	34550.75394
298	34384.3658
299	34237.25282
300	34122.03023
301	33986.34587
302	33818.49357
303	33678.74212
304	33545.23254
305	33410.29018
306	33268.80545
307	33121.71246
308	32976.5472
309	32860.1945
310	32738.47594
311	32626.4096
312	32489.75499
313	32339.47081
314	32230.82049
315	32108.97099
316	31980.23821
317	31847.80073
318	31717.30289
319	31608.76981
320	31483.1576
321	31360.43222
322	31246.83515
323	31135.78733
324	31002.32018
325	30869.65123
326	30745.66364
327	30627.33198
328	30488.18701
329	30365.75241
330	30234.76305
331	30132.81312
332	30024.10182
333	29917.88712
334	29792.41083
335	29678.05846
336	29551.54182
337	29451.6763
338	29357.02224
339	29241.7405
340	29148.19263
341	29028.29386
342	28929.39549
343	28805.29052
344	28684.36665
345	28592.13003
346	28481.84552
347	28364.02332
348	28263.54719
349	28154.82316
350	28043.79181
351	27943.48092
352	27841.52858
353	27746.76823
354	27652.17955
355	27554.01731
356	27446.8279
357	27351.77272
358	27248.90406
359	27145.28459
360	27043.78705
361	26939.79252
362	26848.37191
363	26755.59114
364	26661.40202
365	26622.05054
366	26537.51502
367	26466.56568
368	26396.2719
369	26293.1697
370	26190.94595
371	26087.69452
372	25990.92043
373	25904.30279
374	25808.38697
375	25716.76463
376	25604.56456
377	25499.71603
378	25405.06624
379	25321.93297
380	25222.2416
381	25139.67192
382	25058.86073
383	24999.62892
384	24918.59962
385	24831.23369
386	24768.47682
387	24686.04563
388	24588.82656
389	24504.4002
390	24440.90746
391	24351.0163
392	24255.20268
393	24174.68541
394	24093.18255
395	24010.38607
396	23923.94008
397	23837.78791
398	23749.90238
399	23666.17255
400	23592.29829
401	23520.43039
