iter	Passed	Remaining
0	174	871438
1	199	498505
2	217	361529
3	233	291845
4	250	249763
5	266	221607
6	282	201383
7	298	186524
8	315	175164
9	332	165762
10	348	157880
11	364	151510
12	380	145931
13	396	141295
14	407	135282
15	423	131969
16	441	129299
17	451	124927
18	467	122631
19	484	120604
20	490	116362
21	507	114755
22	523	113269
23	527	109382
24	543	108178
25	560	107212
26	576	106127
27	578	102791
28	594	101943
29	605	100243
30	622	99726
31	638	99113
32	655	98648
33	672	98169
34	688	97604
35	704	97185
36	720	96694
37	738	96369
38	742	94487
39	759	94172
40	775	93796
41	792	93553
42	799	92149
43	816	91913
44	822	90556
45	826	89051
46	843	88850
47	858	88614
48	874	88400
49	891	88293
50	908	88191
51	924	87993
52	941	87864
53	956	87628
54	973	87492
55	989	87399
56	994	86226
57	1011	86150
58	1027	86046
59	1043	85890
60	1046	84716
61	1055	84103
62	1071	83971
63	1080	83355
64	1097	83315
65	1114	83300
66	1130	83257
67	1147	83192
68	1163	83155
69	1173	82634
70	1177	81740
71	1194	81777
72	1212	81868
73	1219	81173
74	1236	81168
75	1252	81166
76	1269	81161
77	1286	81154
78	1289	80304
79	1298	79887
80	1315	79870
81	1332	79900
82	1336	79185
83	1352	79151
84	1368	79135
85	1371	78346
86	1386	78324
87	1402	78306
88	1420	78355
89	1436	78371
90	1453	78384
91	1469	78380
92	1485	78383
93	1495	78037
94	1511	78043
95	1527	78033
96	1537	77723
97	1547	77393
98	1551	76801
99	1567	76809
100	1583	76827
101	1600	76857
102	1616	76867
103	1632	76846
104	1648	76831
105	1651	76240
106	1667	76237
107	1671	75710
108	1688	75769
109	1705	75799
110	1714	75526
111	1730	75522
112	1746	75550
113	1763	75582
114	1779	75583
115	1796	75620
116	1812	75635
117	1827	75615
118	1843	75625
119	1859	75628
120	1869	75381
121	1885	75378
122	1901	75412
123	1905	74921
124	1921	74940
125	1937	74958
126	1947	74728
127	1957	74504
128	1974	74539
129	1989	74540
130	2006	74566
131	2022	74570
132	2025	74112
133	2028	73663
134	2045	73706
135	2061	73712
136	2076	73708
137	2093	73749
138	2109	73770
139	2124	73763
140	2141	73792
141	2151	73593
142	2165	73566
143	2183	73622
144	2199	73659
145	2215	73673
146	2231	73686
147	2248	73702
148	2263	73703
149	2279	73716
150	2295	73725
151	2311	73719
152	2328	73752
153	2334	73466
154	2350	73474
155	2366	73477
156	2382	73491
157	2386	73148
158	2403	73165
159	2419	73181
160	2435	73203
161	2451	73209
162	2467	73226
163	2483	73231
164	2499	73248
165	2502	72887
166	2509	72621
167	2527	72693
168	2543	72720
169	2560	72736
170	2576	72757
171	2592	72777
172	2609	72796
173	2625	72813
174	2641	72828
175	2658	72858
176	2674	72870
177	2690	72885
178	2706	72906
179	2723	72925
180	2726	72579
181	2741	72586
182	2757	72586
183	2775	72637
184	2791	72656
185	2807	72663
186	2824	72684
187	2840	72711
188	2847	72472
189	2863	72498
190	2879	72505
191	2896	72525
192	2912	72551
193	2922	72412
194	2939	72423
195	2945	72198
196	2962	72218
197	2978	72245
198	2983	71977
199	2999	71996
200	3016	72020
201	3020	71751
202	3037	71771
203	3053	71792
204	3070	71812
205	3086	71825
206	3102	71844
207	3119	71875
208	3126	71666
209	3132	71460
210	3149	71488
211	3167	71533
212	3183	71547
213	3200	71566
214	3216	71581
215	3232	71596
216	3248	71608
217	3265	71621
218	3281	71639
219	3297	71651
220	3314	71672
221	3330	71680
222	3347	71708
223	3364	71729
224	3380	71735
225	3396	71747
226	3413	71763
227	3429	71770
228	3445	71780
229	3461	71782
230	3477	71787
231	3493	71787
232	3496	71538
233	3514	71572
234	3529	71568
235	3546	71589
236	3563	71620
237	3580	71632
238	3590	71515
239	3599	71398
240	3615	71398
241	3619	71172
242	3636	71183
243	3639	70930
244	3655	70953
245	3672	70976
246	3690	71006
247	3706	71024
248	3716	70920
249	3732	70916
250	3748	70928
251	3764	70932
252	3780	70941
253	3797	70947
254	3806	70837
255	3822	70836
256	3838	70848
257	3855	70865
258	3871	70873
259	3887	70878
260	3892	70671
261	3896	70466
262	3912	70464
263	3915	70241
264	3931	70243
265	3946	70230
266	3963	70252
267	3979	70266
268	3995	70272
269	4011	70276
270	4027	70276
271	4042	70275
272	4059	70285
273	4075	70289
274	4091	70296
275	4107	70300
276	4124	70323
277	4139	70316
278	4155	70322
279	4171	70326
280	4188	70335
281	4194	70176
282	4211	70191
283	4227	70199
284	4243	70206
285	4260	70222
286	4277	70245
287	4294	70258
288	4311	70277
289	4321	70183
290	4327	70022
291	4343	70030
292	4360	70051
293	4376	70053
294	4392	70061
295	4395	69855
296	4412	69865
297	4415	69670
298	4431	69672
299	4447	69677
300	4463	69675
301	4479	69688
302	4496	69706
303	4512	69707
304	4528	69712
305	4545	69723
306	4561	69727
307	4577	69737
308	4593	69737
309	4609	69740
310	4625	69746
311	4642	69754
312	4660	69783
313	4676	69789
314	4692	69798
315	4702	69708
316	4706	69533
317	4709	69338
318	4725	69347
319	4743	69370
320	4759	69372
321	4775	69375
322	4791	69377
323	4807	69386
324	4823	69389
325	4839	69389
326	4856	69396
327	4866	69319
328	4873	69187
329	4877	69027
330	4894	69034
331	4899	68881
332	4902	68714
333	4907	68555
334	4923	68564
335	4940	68577
336	4956	68582
337	4959	68410
338	4976	68419
339	4991	68415
340	5001	68330
341	5017	68344
342	5035	68362
343	5052	68379
344	5068	68386
345	5084	68390
346	5101	68401
347	5117	68410
348	5123	68285
349	5130	68162
350	5147	68182
351	5164	68188
352	5179	68189
353	5196	68199
354	5213	68215
355	5230	68228
356	5246	68230
357	5262	68242
358	5279	68248
359	5295	68259
360	5312	68263
361	5328	68273
362	5337	68187
363	5353	68187
364	5369	68184
365	5385	68189
366	5390	68046
367	5396	67924
368	5413	67939
369	5429	67938
370	5445	67949
371	5462	67957
372	5478	67965
373	5495	67977
374	5512	67986
375	5529	68003
376	5545	68003
377	5562	68010
378	5578	68015
379	5594	68020
380	5610	68023
381	5613	67858
382	5629	67860
383	5646	67869
384	5648	67703
385	5664	67705
386	5680	67708
387	5696	67717
388	5713	67720
389	5728	67718
390	5732	67568
391	5747	67565
392	5763	67561
393	5779	67563
394	5794	67554
395	5810	67554
396	5827	67563
397	5842	67559
398	5859	67563
399	5875	67568
400	5891	67564
401	5908	67578
402	5914	67468
403	5924	67403
404	5941	67409
405	5957	67410
406	5974	67426
407	5990	67425
408	6001	67361
409	6016	67357
410	6034	67376
411	6044	67309
412	6047	67168
413	6063	67165
414	6080	67173
415	6095	67170
416	6111	67168
417	6117	67062
418	6134	67068
419	6144	67004
420	6154	66937
421	6170	66944
422	6177	66842
423	6193	66841
424	6208	66834
425	6224	66834
426	6241	66841
427	6256	66834
428	6272	66834
429	6288	66830
430	6303	66824
431	6320	66830
432	6337	66848
433	6347	66781
434	6363	66780
435	6381	66796
436	6397	66800
437	6403	66700
438	6420	66706
439	6436	66708
440	6452	66709
441	6469	66709
442	6485	66713
443	6501	66715
444	6517	66714
445	6533	66714
446	6550	66720
447	6565	66712
